Date,Open,High,Low,Close,Adj Close,Volume
4/18/2022,9.57,9.57,9.24,9.34,9.34,631600
4/19/2022,9.3,9.37,8.79,8.87,8.87,455500
4/20/2022,8.76,8.9,8.61,8.69,8.69,420300
4/21/2022,8.53,9.46,8.48,9.29,9.29,779700
4/22/2022,9.33,10.54,9.32,10.47,10.47,1059400
4/25/2022,10.57,11.11,10.18,10.23,10.23,1492000
4/26/2022,10.4,11.37,10.4,11.36,11.36,893000
4/27/2022,11.23,11.56,10.89,11.44,11.44,795800
4/28/2022,10.93,11.29,10.48,10.96,10.96,696700
4/29/2022,11.14,11.86,10.8,11.81,11.81,781700
5/2/2022,11.87,12.45,11.56,11.62,11.62,616900
5/3/2022,11.48,11.56,10.9,10.93,10.93,275200
5/4/2022,10.81,10.97,9.86,9.94,9.94,335000
5/5/2022,10.22,11.97,10.12,11.73,11.73,931100
5/6/2022,11.85,12.52,11.53,11.53,11.53,709900
5/9/2022,12.17,12.6,11.95,12.52,12.52,1021200
5/10/2022,11.84,12.55,11.84,12.06,12.06,599400
5/11/2022,12.14,12.26,11.47,11.99,11.99,399200
5/12/2022,12.21,12.44,11.7,11.76,11.76,471000
5/13/2022,11.36,11.45,11.02,11.03,11.03,384200
5/16/2022,10.96,11.03,10.58,10.58,10.58,246800
5/17/2022,10.21,10.51,10.16,10.31,10.31,219200
5/18/2022,10.6,11.86,10.5,11.83,11.83,567600
5/19/2022,12.01,12.08,11.02,11.05,11.05,426600
5/20/2022,10.73,11.92,10.68,11.07,11.07,550600
5/24/2022,11.14,11.49,10.91,11.03,11.03,390800
5/25/2022,11.12,11.16,10.63,10.73,10.73,230600
5/26/2022,10.61,10.67,10.49,10.66,10.66,93800
5/27/2022,10.4,10.48,10.21,10.21,10.21,160800
5/30/2022,10.19,10.34,10.02,10.03,10.03,340200
5/31/2022,10.41,10.66,10,10.08,10.08,285200
6/1/2022,9.88,10.5,9.84,9.98,9.98,408500
6/2/2022,10.01,10.05,9.61,9.78,9.78,224300
6/3/2022,9.95,10.12,9.83,9.89,9.89,237300
6/6/2022,9.7,9.91,9.65,9.76,9.76,170500
6/7/2022,10.02,10.02,9.47,9.51,9.51,323000
6/8/2022,9.61,9.7,9.44,9.5,9.5,194400
6/9/2022,9.64,9.99,9.5,9.96,9.96,319300
6/10/2022,10.39,10.77,10.24,10.55,10.55,1056600
6/13/2022,11.5,12.13,11.28,12.01,12.01,1020000
6/14/2022,11.86,12.05,11.51,11.62,11.62,254900
6/15/2022,11.32,11.39,10.6,10.97,10.97,406200
6/16/2022,11.51,11.95,11.45,11.66,11.66,431200
6/17/2022,11.5,11.78,11.2,11.31,11.31,306500
6/20/2022,11.1,11.21,10.88,10.99,10.99,224600
6/21/2022,10.86,11.08,10.68,11.08,11.08,210100
6/22/2022,11.38,11.38,10.63,10.64,10.64,197000
6/23/2022,10.57,10.91,10.55,10.64,10.64,263300
6/24/2022,10.46,10.47,10.29,10.46,10.46,167500
6/27/2022,10.35,10.48,10.09,10.1,10.1,129400
6/28/2022,10.02,10.48,9.92,10.41,10.41,194700
6/29/2022,10.46,10.67,10.32,10.43,10.43,194600
6/30/2022,10.66,10.95,10.45,10.5,10.5,257700
7/4/2022,10.4,10.4,10.1,10.35,10.35,391300
7/5/2022,10.38,10.92,10.23,10.26,10.26,388800
7/6/2022,10.27,10.42,10.05,10.12,10.12,165400
7/7/2022,10.02,10.04,9.85,9.99,9.99,248700
7/8/2022,9.99,9.99,9.71,9.78,9.78,217000
7/11/2022,9.95,10.12,9.87,10.1,10.1,249500
7/12/2022,10.09,10.25,9.84,10.14,10.14,317600
7/13/2022,10.38,10.43,9.88,10,10,275500
7/14/2022,10.33,10.48,9.97,10.01,10.01,337900
7/15/2022,9.82,9.85,9.5,9.51,9.51,455400
7/18/2022,9.44,9.85,9.37,9.78,9.78,256200
7/19/2022,9.58,9.65,9.45,9.65,9.65,248900
7/20/2022,9.59,9.62,9.37,9.39,9.39,271500
7/21/2022,9.38,9.53,9.18,9.18,9.18,293500
7/22/2022,9.19,9.41,9.1,9.12,9.12,389400
7/25/2022,9.13,9.17,8.97,9.03,9.03,297100
7/26/2022,9.12,9.39,9.12,9.27,9.27,262500
7/27/2022,8.91,9.04,8.76,8.95,8.95,317500
7/28/2022,8.86,8.95,8.51,8.51,8.51,281500
7/29/2022,8.47,8.53,8.36,8.43,8.43,149900
8/2/2022,8.8,8.97,8.5,8.8,8.8,225000
8/3/2022,8.6,8.66,8.32,8.36,8.36,211600
8/4/2022,8.45,8.57,8.39,8.4,8.4,150700
8/5/2022,8.57,8.57,8.18,8.2,8.2,346500
8/8/2022,8.19,8.35,8,8.23,8.23,312900
8/9/2022,8.35,8.39,8.21,8.3,8.3,232700
8/10/2022,8.03,8.03,7.78,7.82,7.82,358200
8/11/2022,7.78,8.01,7.73,7.88,7.88,228600
8/12/2022,7.82,7.82,7.61,7.8,7.8,225200
8/15/2022,7.9,7.9,7.6,7.66,7.66,300200
8/16/2022,7.67,7.79,7.61,7.72,7.72,234200
8/17/2022,7.79,7.88,7.58,7.67,7.67,313200
8/18/2022,7.67,7.74,7.54,7.56,7.56,188500
8/19/2022,7.74,8.07,7.67,7.93,7.93,500600
8/22/2022,8.3,8.47,8.18,8.45,8.45,589300
8/23/2022,8.41,8.45,8.16,8.3,8.3,207100
8/24/2022,8.23,8.23,7.98,8.01,8.01,278400
8/25/2022,7.92,8.02,7.75,7.79,7.79,134300
8/26/2022,7.83,8.57,7.74,8.52,8.52,450200
8/29/2022,8.65,8.69,8.39,8.49,8.49,356800
8/30/2022,8.4,8.75,8.39,8.62,8.62,421000
8/31/2022,8.46,8.57,8.32,8.44,8.44,205000
9/1/2022,8.61,8.81,8.37,8.37,8.37,318000
9/2/2022,8.08,8.58,7.98,8.44,8.44,381000
9/6/2022,8.29,8.67,8.29,8.67,8.67,209800
9/7/2022,8.68,8.68,8.12,8.12,8.12,217400
9/8/2022,8.3,8.36,8.04,8.05,8.05,332700
9/9/2022,7.95,7.96,7.83,7.96,7.96,198800
9/12/2022,7.85,8.01,7.75,7.91,7.91,239400
9/13/2022,8.3,8.75,8.17,8.65,8.65,581000
9/14/2022,8.61,8.76,8.52,8.62,8.62,264000
9/15/2022,8.66,8.66,8.4,8.59,8.59,244900
9/16/2022,8.82,9,8.54,8.56,8.56,343800
9/19/2022,8.73,8.77,8.28,8.31,8.31,231700
9/20/2022,8.51,8.7,8.44,8.61,8.61,168400
9/21/2022,8.49,8.86,8.31,8.56,8.56,501000
9/22/2022,8.77,8.99,8.66,8.83,8.83,219400
9/23/2022,9.05,9.77,9.04,9.34,9.34,902800
9/26/2022,9.56,9.78,9.21,9.71,9.71,576500
9/27/2022,9.41,10.08,9.41,9.85,9.85,384300
9/28/2022,9.77,9.93,9.35,9.45,9.45,381300
9/29/2022,9.68,10.12,9.68,9.74,9.74,352800
9/30/2022,9.81,9.95,9.45,9.93,9.93,253600
10/3/2022,9.65,9.7,9.33,9.5,9.5,243800
10/4/2022,9.09,9.27,9.06,9.16,9.16,221300
10/5/2022,9.35,9.51,9.15,9.24,9.24,181000
10/6/2022,9.18,9.52,9.11,9.51,9.51,175900
10/7/2022,9.64,9.95,9.6,9.88,9.88,192500
10/11/2022,10.17,10.4,9.96,10.29,10.29,227800
10/12/2022,10.2,10.29,10.06,10.15,10.15,192100
10/13/2022,10.39,10.39,9.79,9.9,9.9,488000
10/14/2022,9.71,10.28,9.64,10.09,10.09,552700
10/17/2022,9.8,9.87,9.65,9.87,9.87,224500
10/18/2022,9.64,9.9,9.62,9.65,9.65,229100
10/19/2022,9.7,9.94,9.6,9.74,9.74,367400
10/20/2022,9.7,9.75,9.44,9.6,9.6,252800
10/21/2022,9.55,9.59,9.38,9.59,9.59,209100
10/24/2022,9.48,9.7,9.4,9.4,9.4,161400
10/25/2022,9.45,9.45,9.05,9.07,9.07,135200
10/26/2022,9.16,9.16,8.81,8.86,8.86,344500
10/27/2022,8.78,8.82,8.64,8.69,8.69,166700
10/28/2022,8.66,8.66,8.41,8.49,8.49,163400
10/31/2022,8.52,8.52,8.34,8.35,8.35,62900
11/1/2022,8.25,8.39,8.24,8.27,8.27,84600
11/2/2022,8.32,8.51,8.19,8.51,8.51,181100
11/3/2022,8.64,8.66,8.24,8.29,8.29,193100
11/4/2022,8.14,8.35,7.97,8.22,8.22,248200
11/7/2022,8.15,8.23,8.04,8.1,8.1,88600
11/8/2022,8.05,8.4,8.02,8.35,8.35,112900
11/9/2022,8.36,8.65,8.36,8.58,8.58,193900
11/10/2022,8.1,8.2,7.97,8.12,8.12,355200
11/11/2022,8.19,8.25,8.03,8.04,8.04,206900
11/14/2022,8.07,8.07,7.82,8.04,8.04,215400
11/15/2022,7.83,8.35,7.83,8.14,8.14,149700
11/16/2022,8.07,8.08,7.91,7.94,7.94,147100
11/17/2022,8.04,8.06,7.83,7.83,7.83,211200
11/18/2022,7.76,7.93,7.75,7.76,7.76,277000
11/21/2022,7.79,7.79,7.55,7.57,7.57,152400
11/22/2022,7.49,7.49,7.28,7.29,7.29,188100
11/23/2022,7.32,7.33,7.13,7.14,7.14,223500
11/24/2022,7.2,7.4,7.14,7.35,7.35,31400
11/25/2022,7.21,7.46,7.14,7.4,7.4,105800
11/28/2022,7.37,7.49,7.24,7.44,7.44,171300
11/29/2022,7.38,7.46,7.3,7.34,7.34,160800
11/30/2022,7.3,7.45,7.01,7.06,7.06,315500
12/1/2022,7.02,7.16,6.93,6.94,6.94,186300
12/2/2022,7.09,7.09,6.78,6.82,6.82,304100
12/5/2022,6.91,7.05,6.8,6.93,6.93,272800
12/6/2022,6.91,7.17,6.82,7.13,7.13,252800
12/7/2022,7.15,7.28,7.11,7.23,7.23,203400
12/8/2022,7.23,7.29,7.05,7.07,7.07,108800
12/9/2022,7.12,7.26,7.07,7.25,7.25,211700
12/12/2022,7.24,7.27,7.13,7.23,7.23,145900
12/13/2022,6.76,7.13,6.76,6.9,6.9,235100
12/14/2022,6.85,6.94,6.63,6.67,6.67,304200
12/15/2022,6.76,7.23,6.75,7.09,7.09,407300
12/16/2022,7.25,7.32,7.01,7.1,7.1,362100
12/19/2022,7.07,7.07,6.82,6.94,6.94,239100
12/20/2022,6.9,7.04,6.81,6.88,6.88,150100
12/21/2022,6.73,6.75,6.6,6.63,6.63,200500
12/22/2022,6.66,7.29,6.64,6.98,6.98,522800
12/23/2022,6.98,7.02,6.75,6.81,6.81,217400
12/28/2022,6.7,6.8,6.62,6.78,6.78,244900
12/29/2022,6.62,6.7,6.61,6.68,6.68,164600
12/30/2022,6.74,6.83,6.69,6.69,6.69,182400
1/3/2023,6.64,6.85,6.59,6.64,6.64,272600
1/4/2023,6.53,6.6,6.44,6.46,6.46,181100
1/5/2023,6.53,6.6,6.48,6.51,6.51,159800
1/6/2023,6.39,6.45,6.26,6.34,6.34,214500
1/9/2023,6.3,6.43,6.25,6.38,6.38,188500
1/10/2023,6.38,6.39,6.11,6.12,6.12,150100
1/11/2023,6.06,6.17,6.06,6.15,6.15,199300
1/12/2023,6.04,6.1,5.85,5.85,5.85,582200
1/13/2023,5.9,5.9,5.65,5.7,5.7,353600
1/16/2023,5.79,5.83,5.74,5.8,5.8,42500
1/17/2023,5.8,5.83,5.7,5.77,5.77,322700
1/18/2023,5.69,5.98,5.65,5.95,5.95,374500
1/19/2023,6.11,6.17,5.9,5.98,5.98,215300
1/20/2023,5.94,6,5.73,5.77,5.77,164900
1/23/2023,5.73,5.79,5.69,5.72,5.72,127500
1/24/2023,5.75,5.77,5.48,5.5,5.5,223500
1/25/2023,5.69,5.83,5.49,5.5,5.5,192300
1/26/2023,5.42,5.55,5.42,5.43,5.43,124400
1/27/2023,5.43,5.45,5.24,5.34,5.34,194100
1/30/2023,5.49,5.58,5.45,5.49,5.49,128300
1/31/2023,5.51,5.51,5.33,5.38,5.38,177500
2/1/2023,5.35,5.48,5.14,5.21,5.21,370700
2/2/2023,5.1,5.45,5.04,5.32,5.32,338700
2/3/2023,5.46,5.54,5.3,5.36,5.36,295000
2/6/2023,5.43,5.51,5.39,5.49,5.49,249100
2/7/2023,5.55,5.55,5.27,5.33,5.33,210200
2/8/2023,5.37,5.61,5.3,5.54,5.54,311600
2/9/2023,5.45,5.71,5.37,5.69,5.69,350700
2/10/2023,5.79,5.9,5.71,5.76,5.76,414500
2/13/2023,5.69,5.69,5.54,5.56,5.56,180400
2/14/2023,5.49,5.55,5.3,5.35,5.35,396600
2/15/2023,5.36,5.37,5.26,5.26,5.26,206100
2/16/2023,5.42,5.53,5.29,5.51,5.51,284600
2/17/2023,5.65,5.74,5.51,5.54,5.54,579000
2/21/2023,34.759998,36,34.369999,35.790001,35.790001,93500
2/22/2023,35.84,36.25,34.549999,34.669998,34.669998,107200
2/23/2023,34,35,33.360001,33.580002,33.580002,48800
2/24/2023,34.790001,35.700001,34.549999,34.790001,34.790001,53400
2/27/2023,33.959999,33.959999,33.200001,33.630001,33.630001,20200
2/28/2023,33.529999,33.529999,32.5,32.84,32.84,68700
3/1/2023,33.07,33.889999,32.5,33.080002,33.080002,27600
3/2/2023,33.560001,33.689999,31.91,31.950001,31.950001,34400
3/3/2023,31.59,31.620001,30.860001,30.959999,30.959999,46200
3/6/2023,30.74,30.780001,30.35,30.5,30.5,33800
3/7/2023,30.5,31.65,30,31.24,31.24,113000
3/8/2023,31.360001,31.360001,30.5,30.610001,30.610001,33700
3/9/2023,30.290001,34.029999,30.200001,34.029999,34.029999,271700
3/10/2023,34.060001,40.950001,34.040001,37.610001,37.610001,582600
3/13/2023,41.380001,42.099998,38,38.84,38.84,428900
3/14/2023,35.889999,37.700001,34.5,36.360001,36.360001,251400
3/15/2023,39.810001,42.93,38.509998,39.259998,39.259998,517600
3/16/2023,40.560001,40.799999,35.77,35.860001,35.860001,191800
3/17/2023,36.990002,40.220001,36.380001,39.860001,39.860001,296400
3/20/2023,39.75,40.32,37.75,37.799999,37.799999,85900
3/21/2023,36.029999,36.07,34.439999,34.549999,34.549999,90000
3/22/2023,34.419998,35.880001,33.299999,35.82,35.82,139400
3/23/2023,34.75,37.389999,33.540001,36.799999,36.799999,214600
3/24/2023,37.98,39.34,35.360001,35.43,35.43,133900
3/27/2023,34.549999,35.150002,33.84,34.040001,34.040001,95700
3/28/2023,34.110001,34.25,33.169998,33.189999,33.189999,70900
3/29/2023,32.290001,32.540001,31.93,32.119999,32.119999,84200
3/30/2023,31.940001,33.099998,31.85,32.07,32.07,81700
3/31/2023,31.780001,32.040001,31.450001,31.940001,31.940001,94100
4/3/2023,31.93,32.490002,31.139999,31.139999,31.139999,35300
4/4/2023,31.299999,32.599998,31.280001,31.76,31.76,76200
4/5/2023,31.91,32.5,31.4,31.530001,31.530001,73700
4/6/2023,31.700001,32,30.65,30.9,30.9,59500
4/10/2023,31.16,31.440001,30.459999,30.549999,30.549999,35000
4/11/2023,30.309999,30.440001,29.879999,30.290001,30.290001,62300
4/12/2023,29.75,30.700001,29.610001,30.48,30.48,107900
4/13/2023,29.959999,29.959999,29.299999,29.42,29.42,97400
4/14/2023,29.59,29.790001,28.9,28.9,28.9,65100
4/17/2023,28.809999,28.809999,27.950001,28.129999,28.129999,76100
